# this list is partitioned you can remove any unwanted partition and rerun the script unroute then route
#discord ips -------------------------
34.0.0.0	255.255.0.0
35.215.68.126 255.255.255.255
35.215.188.122 255.255.255.255
35.215.237.233 255.255.255.255
35.213.115.23 255.255.255.255
35.213.231.225 255.255.255.255
35.215.123.105 255.255.255.255
66.22.199.37 255.255.255.255
66.22.202.13 255.255.255.255
66.22.237.4 255.255.255.255
66.22.216.113 255.255.255.255
66.22.198.73 255.255.255.255
66.22.217.162 255.255.255.255
66.22.247.10 255.255.255.255
66.22.196.14 255.255.255.255
66.22.216.22 255.255.255.255
66.22.235.23 255.255.255.255
66.22.216.126 255.255.255.255
66.22.216.155 255.255.255.255
66.22.218.74 255.255.255.255
66.22.221.16 255.255.255.255
66.22.216.69 255.255.255.255
66.22.218.11 255.255.255.255
66.22.244.151 255.255.255.255
66.22.246.132 255.255.255.255
66.22.196.158 255.255.255.255
66.22.219.39 255.255.255.255
66.22.218.97 255.255.255.255
66.22.221.5 255.255.255.255
66.22.196.68 255.255.255.255
66.22.216.45 255.255.255.255
138.128.140.249 255.255.255.255
66.22.234.13 255.255.255.255
66.22.218.95 255.255.255.255
66.22.217.119 255.255.255.255
66.22.237.9 255.255.255.255
66.22.221.7 255.255.255.255
66.22.226.45 255.255.255.255
66.22.242.132 255.255.255.255
66.22.216.84 255.255.255.255
66.22.221.73 255.255.255.255
66.22.200.60 255.255.255.255
66.22.235.147 255.255.255.255
66.22.221.125 255.255.255.255
66.22.212.143 255.255.255.255
66.22.237.22 255.255.255.255
66.22.219.65 255.255.255.255
66.22.243.37 255.255.255.255
66.22.216.62 255.255.255.255
66.22.199.138 255.255.255.255
66.22.216.138 255.255.255.255
66.22.198.85 255.255.255.255
66.22.247.151 255.255.255.255
66.22.221.17 255.255.255.255
66.22.226.80 255.255.255.255
66.22.221.20 255.255.255.255
66.22.235.19 255.255.255.255
66.22.216.170 255.255.255.255
66.22.237.12 255.255.255.255
66.22.202.9 255.255.255.255
66.22.200.50 255.255.255.255
66.22.231.142 255.255.255.255
66.22.235.153 255.255.255.255
66.22.202.10 255.255.255.255
66.22.216.34 255.255.255.255
66.22.219.12 255.255.255.255
66.22.217.106 255.255.255.255
66.22.217.195 255.255.255.255
66.22.198.30 255.255.255.255
66.22.246.47 255.255.255.255
66.22.246.63 255.255.255.255
66.22.197.168 255.255.255.255
66.22.202.54 255.255.255.255
66.22.196.41 255.255.255.255
66.22.216.104 255.255.255.255
66.22.199.94 255.255.255.255
66.22.248.146 255.255.255.255
66.22.230.145 255.255.255.255
66.22.227.106 255.255.255.255
66.22.197.162 255.255.255.255
66.22.248.144 255.255.255.255
66.22.241.140 255.255.255.255
66.22.217.116 255.255.255.255
66.22.200.61 255.255.255.255
66.22.234.132 255.255.255.255
66.22.220.16 255.255.255.255
66.22.196.85 255.255.255.255
66.22.226.77 255.255.255.255
66.22.196.62 255.255.255.255
66.22.199.239 255.255.255.255
66.22.246.184 255.255.255.255
66.22.216.71 255.255.255.255
66.22.216.119 255.255.255.255
66.22.200.47 255.255.255.255
66.22.220.43 255.255.255.255
66.22.220.68 255.255.255.255
66.22.226.81 255.255.255.255
66.22.214.135 255.255.255.255
66.22.200.51 255.255.255.255
66.22.221.33 255.255.255.255
66.22.220.114 255.255.255.255
66.22.198.233 255.255.255.255
66.22.210.13 255.255.255.255
66.22.197.31 255.255.255.255
66.22.220.47 255.255.255.255
66.22.221.35 255.255.255.255
66.22.197.26 255.255.255.255
66.22.246.51 255.255.255.255
66.22.227.76 255.255.255.255
66.22.218.29 255.255.255.255
66.22.237.132 255.255.255.255
66.22.235.20 255.255.255.255
66.22.216.78 255.255.255.255
66.22.217.129 255.255.255.255
66.22.219.99 255.255.255.255
